,image_name,image_path,label
0,50zero.jpg,/content/persian-alpha/alpha/33-zero/50zero.jpg,zero
1,76zero.jpg,/content/persian-alpha/alpha/33-zero/76zero.jpg,zero
2,8zero.jpg,/content/persian-alpha/alpha/33-zero/8zero.jpg,zero
3,96zero.jpg,/content/persian-alpha/alpha/33-zero/96zero.jpg,zero
4,52zero.jpg,/content/persian-alpha/alpha/33-zero/52zero.jpg,zero
5,6zero.jpg,/content/persian-alpha/alpha/33-zero/6zero.jpg,zero
6,77zero.jpg,/content/persian-alpha/alpha/33-zero/77zero.jpg,zero
7,39zero.jpg,/content/persian-alpha/alpha/33-zero/39zero.jpg,zero
8,41zero.jpg,/content/persian-alpha/alpha/33-zero/41zero.jpg,zero
9,47zero.jpg,/content/persian-alpha/alpha/33-zero/47zero.jpg,zero
10,22zero.jpg,/content/persian-alpha/alpha/33-zero/22zero.jpg,zero
11,48zero.jpg,/content/persian-alpha/alpha/33-zero/48zero.jpg,zero
12,10zero.jpg,/content/persian-alpha/alpha/33-zero/10zero.jpg,zero
13,81zero.jpg,/content/persian-alpha/alpha/33-zero/81zero.jpg,zero
14,72zero.jpg,/content/persian-alpha/alpha/33-zero/72zero.jpg,zero
15,59zero.jpg,/content/persian-alpha/alpha/33-zero/59zero.jpg,zero
16,54zero.jpg,/content/persian-alpha/alpha/33-zero/54zero.jpg,zero
17,97zero.jpg,/content/persian-alpha/alpha/33-zero/97zero.jpg,zero
18,24zero.jpg,/content/persian-alpha/alpha/33-zero/24zero.jpg,zero
19,62zero.jpg,/content/persian-alpha/alpha/33-zero/62zero.jpg,zero
20,83zero.jpg,/content/persian-alpha/alpha/33-zero/83zero.jpg,zero
21,53zero.jpg,/content/persian-alpha/alpha/33-zero/53zero.jpg,zero
22,67zero.jpg,/content/persian-alpha/alpha/33-zero/67zero.jpg,zero
23,86zero.jpg,/content/persian-alpha/alpha/33-zero/86zero.jpg,zero
24,15zero.jpg,/content/persian-alpha/alpha/33-zero/15zero.jpg,zero
25,37zero.jpg,/content/persian-alpha/alpha/33-zero/37zero.jpg,zero
26,2zero.jpg,/content/persian-alpha/alpha/33-zero/2zero.jpg,zero
27,25zero.jpg,/content/persian-alpha/alpha/33-zero/25zero.jpg,zero
28,30zero.jpg,/content/persian-alpha/alpha/33-zero/30zero.jpg,zero
29,21zero.jpg,/content/persian-alpha/alpha/33-zero/21zero.jpg,zero
30,43zero.jpg,/content/persian-alpha/alpha/33-zero/43zero.jpg,zero
31,18zero.jpg,/content/persian-alpha/alpha/33-zero/18zero.jpg,zero
32,4zero.jpg,/content/persian-alpha/alpha/33-zero/4zero.jpg,zero
33,20zero.jpg,/content/persian-alpha/alpha/33-zero/20zero.jpg,zero
34,7zero.jpg,/content/persian-alpha/alpha/33-zero/7zero.jpg,zero
35,29zero.jpg,/content/persian-alpha/alpha/33-zero/29zero.jpg,zero
36,61zero.jpg,/content/persian-alpha/alpha/33-zero/61zero.jpg,zero
37,85zero.jpg,/content/persian-alpha/alpha/33-zero/85zero.jpg,zero
38,35zero.jpg,/content/persian-alpha/alpha/33-zero/35zero.jpg,zero
39,87zero.jpg,/content/persian-alpha/alpha/33-zero/87zero.jpg,zero
40,91zero.jpg,/content/persian-alpha/alpha/33-zero/91zero.jpg,zero
41,79zero.jpg,/content/persian-alpha/alpha/33-zero/79zero.jpg,zero
